id,name,height,weight,base_experience,is_default
192,sunflora,8,85,149,True
193,yanma,12,380,78,True
194,wooper,4,85,42,True
195,quagsire,14,750,151,True
196,espeon,9,265,184,True
197,umbreon,10,270,184,True
198,murkrow,5,21,81,True
199,slowking,20,795,172,True
200,misdreavus,7,10,87,True
201,unown,5,50,118,True
202,wobbuffet,13,285,142,True
203,girafarig,15,415,159,True
204,pineco,6,72,58,True
205,forretress,12,1258,163,True
206,dunsparce,15,140,145,True
207,gligar,11,648,86,True
208,steelix,92,4000,179,True
209,snubbull,6,78,60,True
210,granbull,14,487,158,True
211,qwilfish,5,39,88,True
212,scizor,18,1180,175,True
213,shuckle,6,205,177,True
214,heracross,15,540,175,True
215,sneasel,9,280,86,True
216,teddiursa,6,88,66,True
217,ursaring,18,1258,175,True
218,slugma,7,350,50,True
219,magcargo,8,550,151,True
220,swinub,4,65,50,True
221,piloswine,11,558,158,True
222,corsola,6,50,144,True
223,remoraid,6,120,60,True
224,octillery,9,285,168,True
225,delibird,9,160,116,True
226,mantine,21,2200,170,True
227,skarmory,17,505,163,True
228,houndour,6,108,66,True
229,houndoom,14,350,175,True
230,kingdra,18,1520,243,True
231,phanpy,5,335,66,True
232,donphan,11,1200,175,True
233,porygon2,6,325,180,True
234,stantler,14,712,163,True
235,smeargle,12,580,88,True
236,tyrogue,7,210,42,True
237,hitmontop,14,480,159,True
238,smoochum,4,60,61,True
239,elekid,6,235,72,True
240,magby,7,214,73,True
241,miltank,12,755,172,True
242,blissey,15,468,608,True
243,raikou,19,1780,261,True
244,entei,21,1980,261,True
245,suicune,20,1870,261,True
246,larvitar,6,720,60,True
247,pupitar,12,1520,144,True
248,tyranitar,20,2020,270,True
249,lugia,52,2160,306,True
250,ho-oh,38,1990,306,True
251,celebi,6,50,270,True
252,treecko,5,50,62,True
253,grovyle,9,216,142,True
254,sceptile,17,522,239,True
255,torchic,4,25,62,True
256,combusken,9,195,142,True
257,blaziken,19,520,239,True
258,mudkip,4,76,62,True
259,marshtomp,7,280,142,True
260,swampert,15,819,241,True
261,poochyena,5,136,56,True
262,mightyena,10,370,147,True
263,zigzagoon,4,175,56,True
264,linoone,5,325,147,True
265,wurmple,3,36,56,True
266,silcoon,6,100,72,True
267,beautifly,10,284,178,True
268,cascoon,7,115,72,True
269,dustox,12,316,173,True
270,lotad,5,26,44,True
271,lombre,12,325,119,True
272,ludicolo,15,550,216,True
273,seedot,5,40,44,True
274,nuzleaf,10,280,119,True
275,shiftry,13,596,216,True
276,taillow,3,23,54,True
277,swellow,7,198,159,True
278,wingull,6,95,54,True
279,pelipper,12,280,154,True
280,ralts,4,66,40,True
281,kirlia,8,202,97,True
282,gardevoir,16,484,233,True
283,surskit,5,17,54,True
284,masquerain,8,36,159,True
285,shroomish,4,45,59,True
286,breloom,12,392,161,True
287,slakoth,8,240,56,True
288,vigoroth,14,465,154,True
289,slaking,20,1305,252,True
290,nincada,5,55,53,True
291,ninjask,8,120,160,True
292,shedinja,8,12,83,True
293,whismur,6,163,48,True
294,loudred,10,405,126,True
295,exploud,15,840,221,True
296,makuhita,10,864,47,True
297,hariyama,23,2538,166,True
298,azurill,2,20,38,True
299,nosepass,10,970,75,True
300,skitty,6,110,52,True
301,delcatty,11,326,140,True
302,sableye,5,110,133,True
303,mawile,6,115,133,True
304,aron,4,600,66,True
305,lairon,9,1200,151,True
306,aggron,21,3600,239,True
307,meditite,6,112,56,True
308,medicham,13,315,144,True
309,electrike,6,152,59,True
310,manectric,15,402,166,True
311,plusle,4,42,142,True
312,minun,4,42,142,True
313,volbeat,7,177,151,True
314,illumise,6,177,151,True
315,roselia,3,20,140,True
316,gulpin,4,103,60,True
317,swalot,17,800,163,True
318,carvanha,8,208,61,True
319,sharpedo,18,888,161,True
320,wailmer,20,1300,80,True
321,wailord,145,3980,175,True
322,numel,7,240,61,True
323,camerupt,19,2200,161,True
324,torkoal,5,804,165,True
325,spoink,7,306,66,True
326,grumpig,9,715,165,True
327,spinda,11,50,126,True
328,trapinch,7,150,58,True
329,vibrava,11,153,119,True
330,flygon,20,820,234,True
331,cacnea,4,513,67,True
332,cacturne,13,774,166,True
333,swablu,4,12,62,True
334,altaria,11,206,172,True
335,zangoose,13,403,160,True
336,seviper,27,525,160,True
337,lunatone,10,1680,161,True
338,solrock,12,1540,161,True
339,barboach,4,19,58,True
340,whiscash,9,236,164,True
341,corphish,6,115,62,True
342,crawdaunt,11,328,164,True
343,baltoy,5,215,60,True
344,claydol,15,1080,175,True
345,lileep,10,238,71,True
346,cradily,15,604,173,True
347,anorith,7,125,71,True
348,armaldo,15,682,173,True
349,feebas,6,74,40,True
350,milotic,62,1620,189,True
351,castform,3,8,147,True
352,kecleon,10,220,154,True
353,shuppet,6,23,59,True
354,banette,11,125,159,True
355,duskull,8,150,59,True
356,dusclops,16,306,159,True
357,tropius,20,1000,161,True
358,chimecho,6,10,159,True
359,absol,12,470,163,True
360,wynaut,6,140,52,True
361,snorunt,7,168,60,True
362,glalie,15,2565,168,True
363,spheal,8,395,58,True
364,sealeo,11,876,144,True
365,walrein,14,1506,239,True
366,clamperl,4,525,69,True
367,huntail,17,270,170,True
368,gorebyss,18,226,170,True
369,relicanth,10,234,170,True
370,luvdisc,6,87,116,True
371,bagon,6,421,60,True
372,shelgon,11,1105,147,True
373,salamence,15,1026,270,True
374,beldum,6,952,60,True
375,metang,12,2025,147,True
376,metagross,16,5500,270,True
377,regirock,17,2300,261,True
378,regice,18,1750,261,True
379,registeel,19,2050,261,True
380,latias,14,400,270,True
381,latios,20,600,270,True
382,kyogre,45,3520,302,True
383,groudon,35,9500,302,True
384,rayquaza,70,2065,306,True
385,jirachi,3,11,270,True
386,deoxys-normal,17,608,270,True
387,turtwig,4,102,64,True
388,grotle,11,970,142,True
389,torterra,22,3100,236,True
390,chimchar,5,62,62,True
391,monferno,9,220,142,True
392,infernape,12,550,240,True
393,piplup,4,52,63,True
394,prinplup,8,230,142,True
395,empoleon,17,845,239,True
396,starly,3,20,49,True
397,staravia,6,155,119,True
398,staraptor,12,249,218,True
399,bidoof,5,200,50,True
400,bibarel,10,315,144,True
401,kricketot,3,22,39,True
402,kricketune,10,255,134,True
403,shinx,5,95,53,True
404,luxio,9,305,127,True
405,luxray,14,420,235,True
406,budew,2,12,56,True
407,roserade,9,145,232,True
408,cranidos,9,315,70,True
409,rampardos,16,1025,173,True
410,shieldon,5,570,70,True
411,bastiodon,13,1495,173,True
412,burmy,2,34,45,True
413,wormadam-plant,5,65,148,True
414,mothim,9,233,148,True
415,combee,3,55,49,True
416,vespiquen,12,385,166,True
417,pachirisu,4,39,142,True
418,buizel,7,295,66,True
419,floatzel,11,335,173,True
420,cherubi,4,33,55,True
421,cherrim,5,93,158,True
422,shellos,3,63,65,True
423,gastrodon,9,299,166,True
424,ambipom,12,203,169,True
425,drifloon,4,12,70,True
426,drifblim,12,150,174,True
427,buneary,4,55,70,True
428,lopunny,12,333,168,True
429,mismagius,9,44,173,True
430,honchkrow,9,273,177,True
431,glameow,5,39,62,True
432,purugly,10,438,158,True
433,chingling,2,6,57,True
434,stunky,4,192,66,True
435,skuntank,10,380,168,True
436,bronzor,5,605,60,True
437,bronzong,13,1870,175,True
438,bonsly,5,150,58,True
439,mime-jr,6,130,62,True
440,happiny,6,244,110,True
441,chatot,5,19,144,True
442,spiritomb,10,1080,170,True
443,gible,7,205,60,True
444,gabite,14,560,144,True
445,garchomp,19,950,270,True
446,munchlax,6,1050,78,True
447,riolu,7,202,57,True
448,lucario,12,540,184,True
449,hippopotas,8,495,66,True
450,hippowdon,20,3000,184,True
451,skorupi,8,120,66,True
452,drapion,13,615,175,True
453,croagunk,7,230,60,True
454,toxicroak,13,444,172,True
455,carnivine,14,270,159,True
456,finneon,4,70,66,True
457,lumineon,12,240,161,True
458,mantyke,10,650,69,True
459,snover,10,505,67,True
460,abomasnow,22,1355,173,True
461,weavile,11,340,179,True
462,magnezone,12,1800,241,True
463,lickilicky,17,1400,180,True
464,rhyperior,24,2828,241,True
465,tangrowth,20,1286,187,True
466,electivire,18,1386,243,True
467,magmortar,16,680,243,True
468,togekiss,15,380,245,True
469,yanmega,19,515,180,True
470,leafeon,10,255,184,True
471,glaceon,8,259,184,True
472,gliscor,20,425,179,True
473,mamoswine,25,2910,239,True
474,porygon-z,9,340,241,True
475,gallade,16,520,233,True
476,probopass,14,3400,184,True
477,dusknoir,22,1066,236,True
478,froslass,13,266,168,True
479,rotom,3,3,154,True
480,uxie,3,3,261,True
481,mesprit,3,3,261,True
482,azelf,3,3,261,True
483,dialga,54,6830,306,True
484,palkia,42,3360,306,True
485,heatran,17,4300,270,True
486,regigigas,37,4200,302,True
487,giratina-altered,45,7500,306,True
488,cresselia,15,856,270,True
489,phione,4,31,216,True
490,manaphy,3,14,270,True
491,darkrai,15,505,270,True
492,shaymin-land,2,21,270,True
493,arceus,32,3200,324,True
494,victini,4,40,270,True
495,snivy,6,81,62,True
496,servine,8,160,145,True
497,serperior,33,630,238,True
498,tepig,5,99,62,True
499,pignite,10,555,146,True
500,emboar,16,1500,238,True
501,oshawott,5,59,62,True
502,dewott,8,245,145,True
503,samurott,15,946,238,True
504,patrat,5,116,51,True
505,watchog,11,270,147,True
506,lillipup,4,41,55,True
507,herdier,9,147,130,True
508,stoutland,12,610,225,True
509,purrloin,4,101,56,True
510,liepard,11,375,156,True
511,pansage,6,105,63,True
512,simisage,11,305,174,True
513,pansear,6,110,63,True
514,simisear,10,280,174,True
515,panpour,6,135,63,True
516,simipour,10,290,174,True
517,munna,6,233,58,True
518,musharna,11,605,170,True
519,pidove,3,21,53,True
520,tranquill,6,150,125,True
521,unfezant,12,290,220,True
522,blitzle,8,298,59,True
523,zebstrika,16,795,174,True
524,roggenrola,4,180,56,True
525,boldore,9,1020,137,True
526,gigalith,17,2600,232,True
527,woobat,4,21,65,True
528,swoobat,9,105,149,True
529,drilbur,3,85,66,True
530,excadrill,7,404,178,True
531,audino,11,310,390,True
532,timburr,6,125,61,True
533,gurdurr,12,400,142,True
534,conkeldurr,14,870,227,True
535,tympole,5,45,59,True
536,palpitoad,8,170,134,True
537,seismitoad,15,620,229,True
538,throh,13,555,163,True
539,sawk,14,510,163,True
540,sewaddle,3,25,62,True
541,swadloon,5,73,133,True
542,leavanny,12,205,225,True
543,venipede,4,53,52,True
544,whirlipede,12,585,126,True
545,scolipede,25,2005,218,True
546,cottonee,3,6,56,True
547,whimsicott,7,66,168,True
548,petilil,5,66,56,True
549,lilligant,11,163,168,True
550,basculin-red-striped,10,180,161,True
551,sandile,7,152,58,True
552,krokorok,10,334,123,True
553,krookodile,15,963,234,True
554,darumaka,6,375,63,True
555,darmanitan-standard,13,929,168,True
556,maractus,10,280,161,True
557,dwebble,3,145,65,True
558,crustle,14,2000,170,True
559,scraggy,6,118,70,True
560,scrafty,11,300,171,True
561,sigilyph,14,140,172,True
562,yamask,5,15,61,True
563,cofagrigus,17,765,169,True
564,tirtouga,7,165,71,True
565,carracosta,12,810,173,True
566,archen,5,95,71,True
567,archeops,14,320,177,True
568,trubbish,6,310,66,True
569,garbodor,19,1073,166,True
570,zorua,7,125,66,True
571,zoroark,16,811,179,True
572,minccino,4,58,60,True
573,cinccino,5,75,165,True
574,gothita,4,58,58,True
575,gothorita,7,180,137,True
576,gothitelle,15,440,221,True
577,solosis,3,10,58,True
578,duosion,6,80,130,True
579,reuniclus,10,201,221,True
580,ducklett,5,55,61,True
581,swanna,13,242,166,True
582,vanillite,4,57,61,True
583,vanillish,11,410,138,True
584,vanilluxe,13,575,241,True
585,deerling,6,195,67,True
586,sawsbuck,19,925,166,True
587,emolga,4,50,150,True
588,karrablast,5,59,63,True
589,escavalier,10,330,173,True
590,foongus,2,10,59,True
591,amoonguss,6,105,162,True
592,frillish,12,330,67,True
593,jellicent,22,1350,168,True
594,alomomola,12,316,165,True
595,joltik,1,6,64,True
596,galvantula,8,143,165,True
597,ferroseed,6,188,61,True
598,ferrothorn,10,1100,171,True
599,klink,3,210,60,True
600,klang,6,510,154,True
601,klinklang,6,810,234,True
602,tynamo,2,3,55,True
603,eelektrik,12,220,142,True
604,eelektross,21,805,232,True
605,elgyem,5,90,67,True
606,beheeyem,10,345,170,True
607,litwick,3,31,55,True
608,lampent,6,130,130,True
609,chandelure,10,343,234,True
610,axew,6,180,64,True
611,fraxure,10,360,144,True
612,haxorus,18,1055,243,True
613,cubchoo,5,85,61,True
614,beartic,26,2600,177,True
615,cryogonal,11,1480,180,True
616,shelmet,4,77,61,True
617,accelgor,8,253,173,True
618,stunfisk,7,110,165,True
619,mienfoo,9,200,70,True
620,mienshao,14,355,179,True
621,druddigon,16,1390,170,True
622,golett,10,920,61,True
623,golurk,28,3300,169,True
624,pawniard,5,102,68,True
625,bisharp,16,700,172,True
626,bouffalant,16,946,172,True
627,rufflet,5,105,70,True
628,braviary,15,410,179,True
629,vullaby,5,90,74,True
630,mandibuzz,12,395,179,True
631,heatmor,14,580,169,True
632,durant,3,330,169,True
633,deino,8,173,60,True
634,zweilous,14,500,147,True
635,hydreigon,18,1600,270,True
636,larvesta,11,288,72,True
637,volcarona,16,460,248,True
638,cobalion,21,2500,261,True
639,terrakion,19,2600,261,True
640,virizion,20,2000,261,True
641,tornadus-incarnate,15,630,261,True
642,thundurus-incarnate,15,610,261,True
643,reshiram,32,3300,306,True
644,zekrom,29,3450,306,True
645,landorus-incarnate,15,680,270,True
646,kyurem,30,3250,297,True
647,keldeo-ordinary,14,485,261,True
648,meloetta-aria,6,65,270,True
649,genesect,15,825,270,True
650,chespin,4,90,63,True
651,quilladin,7,290,142,True
652,chesnaught,16,900,239,True
653,fennekin,4,94,61,True
654,braixen,10,145,143,True
655,delphox,15,390,240,True
656,froakie,3,70,63,True
657,frogadier,6,109,142,True
658,greninja,15,400,239,True
659,bunnelby,4,50,47,True
660,diggersby,10,424,148,True
661,fletchling,3,17,56,True
662,fletchinder,7,160,134,True
663,talonflame,12,245,175,True
664,scatterbug,3,25,40,True
665,spewpa,3,84,75,True
666,vivillon,12,170,185,True
667,litleo,6,135,74,True
668,pyroar,15,815,177,True
669,flabebe,1,1,61,True
670,floette,2,9,130,True
671,florges,11,100,248,True
672,skiddo,9,310,70,True
673,gogoat,17,910,186,True
674,pancham,6,80,70,True
675,pangoro,21,1360,173,True
676,furfrou,12,280,165,True
677,espurr,3,35,71,True
678,meowstic-male,6,85,163,True
679,honedge,8,20,65,True
680,doublade,8,45,157,True
681,aegislash-shield,17,530,234,True
682,spritzee,2,5,68,True
683,aromatisse,8,155,162,True
684,swirlix,4,35,68,True
685,slurpuff,8,50,168,True
686,inkay,4,35,58,True
687,malamar,15,470,169,True
688,binacle,5,310,61,True
689,barbaracle,13,960,175,True
690,skrelp,5,73,64,True
691,dragalge,18,815,173,True
692,clauncher,5,83,66,True
693,clawitzer,13,353,100,True
694,helioptile,5,60,58,True
695,heliolisk,10,210,168,True
696,tyrunt,8,260,72,True
697,tyrantrum,25,2700,182,True
698,amaura,13,252,72,True
699,aurorus,27,2250,104,True
700,sylveon,10,235,184,True
701,hawlucha,8,215,175,True
702,dedenne,2,22,151,True
703,carbink,3,57,100,True
704,goomy,3,28,60,True
705,sliggoo,8,175,158,True
706,goodra,20,1505,270,True
707,klefki,2,30,165,True
708,phantump,4,70,62,True
709,trevenant,15,710,166,True
710,pumpkaboo-average,4,50,67,True
711,gourgeist-average,9,125,173,True
712,bergmite,10,995,61,True
713,avalugg,20,5050,180,True
714,noibat,5,80,49,True
715,noivern,15,850,187,True
716,xerneas,30,2150,306,True
717,yveltal,58,2030,306,True
718,zygarde-50,50,3050,270,True
719,diancie,7,88,270,True
720,hoopa,5,90,270,True
721,volcanion,17,1950,270,True
722,rowlet,3,15,64,True
723,dartrix,7,160,147,True
724,decidueye,16,366,239,True
725,litten,4,43,64,True
726,torracat,7,250,147,True
727,incineroar,18,830,239,True
728,popplio,4,75,64,True
729,brionne,6,175,147,True
730,primarina,18,440,239,True
731,pikipek,3,12,53,True
732,trumbeak,6,148,124,True
733,toucannon,11,260,218,True
734,yungoos,4,60,51,True
735,gumshoos,7,142,146,True
736,grubbin,4,44,60,True
737,charjabug,5,105,140,True
738,vikavolt,15,450,225,True
739,crabrawler,6,70,68,True
740,crabominable,17,1800,167,True
741,oricorio-baile,6,34,167,True
742,cutiefly,1,2,61,True
743,ribombee,2,5,162,True
744,rockruff,5,92,56,True
745,lycanroc-midday,8,250,170,True
746,wishiwashi-solo,2,3,61,True
747,mareanie,4,80,61,True
748,toxapex,7,145,173,True
749,mudbray,10,1100,77,True
750,mudsdale,25,9200,175,True
751,dewpider,3,40,54,True
752,araquanid,18,820,159,True
753,fomantis,3,15,50,True
754,lurantis,9,185,168,True
755,morelull,2,15,57,True
756,shiinotic,10,115,142,True
757,salandit,6,48,64,True
758,salazzle,12,222,168,True
759,stufful,5,68,68,True
760,bewear,21,1350,175,True
761,bounsweet,3,32,42,True
762,steenee,7,82,102,True
763,tsareena,12,214,230,True
764,comfey,1,3,170,True
765,oranguru,15,760,172,True
766,passimian,20,828,172,True
767,wimpod,5,120,46,True
768,golisopod,20,1080,186,True
769,sandygast,5,700,64,True
770,palossand,13,2500,168,True
771,pyukumuku,3,12,144,True
772,type-null,19,1205,107,True
773,silvally,23,1005,257,True
774,minior-red-meteor,3,400,154,True
775,komala,4,199,168,True
776,turtonator,20,2120,170,True
777,togedemaru,3,33,152,True
778,mimikyu-disguised,2,7,167,True
779,bruxish,9,190,166,True
780,drampa,30,1850,170,True
781,dhelmise,39,2100,181,True
782,jangmo-o,6,297,60,True
783,hakamo-o,12,470,147,True
784,kommo-o,16,782,270,True
785,tapu-koko,18,205,257,True
786,tapu-lele,12,186,257,True
787,tapu-bulu,19,455,257,True
788,tapu-fini,13,212,257,True
789,cosmog,2,1,40,True
790,cosmoem,1,9999,140,True
791,solgaleo,34,2300,306,True
792,lunala,40,1200,306,True
793,nihilego,12,555,257,True
794,buzzwole,24,3336,257,True
795,pheromosa,18,250,257,True
796,xurkitree,38,1000,257,True
797,celesteela,92,9999,257,True
798,kartana,3,1,257,True
799,guzzlord,55,8880,257,True
800,necrozma,24,2300,270,True
801,magearna,10,805,270,True
802,marshadow,7,222,270,True
803,poipole,6,18,189,True
804,naganadel,36,1500,243,True
805,stakataka,55,8200,257,True
806,blacephalon,18,130,257,True
807,zeraora,15,445,270,True
808,meltan,2,80,135,True
809,melmetal,25,8000,270,True
810,grookey,3,50,62,True
811,thwackey,7,140,147,True
812,rillaboom,21,900,265,True
813,scorbunny,3,45,62,True
814,raboot,6,90,147,True
815,cinderace,14,330,265,True
816,sobble,3,40,62,True
817,drizzile,7,115,147,True
818,inteleon,19,452,265,True
819,skwovet,3,25,55,True
820,greedent,6,60,161,True
821,rookidee,2,18,49,True
822,corvisquire,8,160,128,True
823,corviknight,22,750,248,True
824,blipbug,4,80,36,True
825,dottler,4,195,117,True
826,orbeetle,4,408,253,True
827,nickit,6,89,49,True
828,thievul,12,199,159,True
829,gossifleur,4,22,50,True
830,eldegoss,5,25,161,True
831,wooloo,6,60,122,True
832,dubwool,13,430,172,True
833,chewtle,3,85,57,True
834,drednaw,10,1155,170,True
835,yamper,3,135,54,True
836,boltund,10,340,172,True
837,rolycoly,3,120,48,True
838,carkol,11,780,144,True
839,coalossal,28,3105,255,True
840,applin,2,5,52,True
841,flapple,3,10,170,True
842,appletun,4,130,170,True
843,silicobra,22,76,63,True
844,sandaconda,38,655,179,True
845,cramorant,8,180,166,True
846,arrokuda,5,10,56,True
847,barraskewda,13,300,172,True
848,toxel,4,110,48,True
849,toxtricity-amped,16,400,176,True
850,sizzlipede,7,10,61,True
851,centiskorch,30,1200,184,True
852,clobbopus,6,40,62,True
853,grapploct,16,390,168,True
854,sinistea,1,2,62,True
855,polteageist,2,4,178,True
856,hatenna,4,34,53,True
857,hattrem,6,48,130,True
858,hatterene,21,51,255,True
859,impidimp,4,55,53,True
860,morgrem,8,125,130,True
861,grimmsnarl,15,610,255,True
862,obstagoon,16,460,260,True
863,perrserker,8,280,154,True
864,cursola,10,4,179,True
865,sirfetchd,8,1170,177,True
866,mr-rime,15,582,182,True
867,runerigus,16,666,169,True
868,milcery,2,3,54,True
869,alcremie,3,5,173,True
870,falinks,30,620,165,True
871,pincurchin,3,10,152,True
872,snom,3,38,37,True
873,frosmoth,13,420,166,True
874,stonjourner,25,5200,165,True
875,eiscue-ice,14,890,165,True
876,indeedee-male,9,280,166,True
877,morpeko-full-belly,3,30,153,True
878,cufant,12,1000,66,True
879,copperajah,30,6500,175,True
880,dracozolt,18,1900,177,True
881,arctozolt,23,1500,177,True
882,dracovish,23,2150,177,True
883,arctovish,20,1750,177,True
884,duraludon,18,400,187,True
885,dreepy,5,20,54,True
886,drakloak,14,110,144,True
887,dragapult,30,500,300,True
888,zacian,28,1100,335,True
889,zamazenta,29,2100,335,True
890,eternatus,200,9500,345,True
891,kubfu,6,120,77,True
892,urshifu-single-strike,19,1050,275,True
893,zarude,18,700,300,True
894,regieleki,12,1450,290,True
895,regidrago,21,2000,290,True
896,glastrier,22,8000,290,True
897,spectrier,20,445,290,True
898,calyrex,11,77,250,True
899,wyrdeer,18,951,263,True
900,kleavor,18,890,175,True
901,ursaluna,24,2900,275,True
902,basculegion-male,30,1100,265,True
903,sneasler,13,430,102,True
904,overqwil,25,605,179,True
905,enamorus-incarnate,16,480,116,True
906,sprigatito,4,41,62,True
907,floragato,9,122,144,True
908,meowscarada,15,312,265,True
909,fuecoco,4,98,62,True
910,crocalor,10,307,144,True
911,skeledirge,16,3265,265,True
912,quaxly,5,61,62,True
913,quaxwell,12,215,144,True
914,quaquaval,18,619,265,True
915,lechonk,5,102,51,True
916,oinkologne-male,10,1200,171,True
917,tarountula,3,40,42,True
918,spidops,10,165,141,True
919,nymble,2,10,42,True
920,lokix,10,175,158,True
921,pawmi,3,25,48,True
922,pawmo,4,65,123,True
923,pawmot,9,410,245,True
924,tandemaus,3,18,61,True
925,maushold-family-of-four,3,23,165,True
926,fidough,3,109,62,True
927,dachsbun,5,149,167,True
